"","imgt_allele","alleles_family","alleles_group","new_allele","duplicated"
"46","IGKV1/OR-4*01","3","15","IGKVS1F3-G15*13","false"
"47","IGKV1/OR10-1*01","3","15","IGKVS1F3-G15*14","false"
"48","IGKV1D-33*01","3","16","IGKVS1F3-G16*01","true"
"49","IGKV1-33*01","3","16","IGKVS1F3-G16*01","false"
"50","IGKV1-39*02","3","17","IGKVS1F3-G17*01","false"
"51","IGKV1D-39*01","3","17","IGKVS1F3-G17*02","true"
"52","IGKV1-39*01","3","17","IGKVS1F3-G17*02","false"
"53","IGKV1D-37*01","3","18","IGKVS1F3-G18*01","true"
"54","IGKV1-37*01","3","18","IGKVS1F3-G18*01","false"
"55","IGKV1-27*03","3","19","IGKVS1F3-G19*01","false"
"56","IGKV1-27*01","3","19","IGKVS1F3-G19*02","false"
"57","IGKV1-27*02","3","19","IGKVS1F3-G19*03","false"
"58","IGKV1-8*04","3","20","IGKVS1F3-G20*01","false"
"59","IGKV1-8*02","3","20","IGKVS1F3-G20*02","false"
"60","IGKV1-8*01","3","20","IGKVS1F3-G20*03","false"
"61","IGKV1-8*03","3","20","IGKVS1F3-G20*04","false"
"62","IGKV1D-8*04","3","20","IGKVS1F3-G20*05","false"
"63","IGKV1D-8*02","3","20","IGKVS1F3-G20*06","false"
"64","IGKV1D-8*01","3","20","IGKVS1F3-G20*07","false"
"65","IGKV1D-8*03","3","20","IGKVS1F3-G20*08","false"
"66","IGKV1-5*01","3","21","IGKVS1F3-G21*01","false"
"67","IGKV1-5*02","3","21","IGKVS1F3-G21*02","false"
"68","IGKV1-5*05","3","21","IGKVS1F3-G21*03","false"
"69","IGKV1-5*03","3","21","IGKVS1F3-G21*04","false"
"70","IGKV1-5*04","3","21","IGKVS1F3-G21*05","false"
"71","IGKV1-NL1*01","3","22","IGKVS1F3-G22*01","false"
"72","IGKV1D-43*01","3","23","IGKVS1F3-G23*01","false"
"73","IGKV1-17*03","3","24","IGKVS1F3-G24*01","false"
"74","IGKV1D-17*01","3","24","IGKVS1F3-G24*02","false"
"75","IGKV1D-12*01","3","25","IGKVS1F3-G25*01","false"
"76","IGKV1-12*01","3","25","IGKVS1F3-G25*02","false"
"77","IGKV1D-12*02","3","25","IGKVS1F3-G25*03","true"
"78","IGKV1-12*02","3","25","IGKVS1F3-G25*03","false"
"79","IGKV1-16*01","3","26","IGKVS1F3-G26*01","false"
"80","IGKV1-16*02","3","26","IGKVS1F3-G26*02","false"
"81","IGKV1D-16*01","3","26","IGKVS1F3-G26*03","false"
"82","IGKV1D-16*02","3","26","IGKVS1F3-G26*04","false"
"83","IGKV1-17*01","3","27","IGKVS1F3-G27*01","false"
"84","IGKV1-17*02","3","27","IGKVS1F3-G27*02","false"
"85","IGKV1-6*01","3","27","IGKVS1F3-G27*03","false"
"86","IGKV1-6*02","3","27","IGKVS1F3-G27*04","false"
"87","IGKV1D-13*02","3","28","IGKVS1F3-G28*01","true"
"88","IGKV1-13*02","3","28","IGKVS1F3-G28*01","false"
"89","IGKV1-13*01","3","28","IGKVS1F3-G28*02","false"
"90","IGKV1D-13*01","3","28","IGKVS1F3-G28*03","false"
"91","IGKV1-9*03","3","29","IGKVS1F3-G29*01","false"
"92","IGKV1-9*01","3","29","IGKVS1F3-G29*02","false"
"93","IGKV1-9*02","3","29","IGKVS1F3-G29*03","false"
"94","IGKV3D-15*03","4","30","IGKVS1F4-G30*01","false"
"95","IGKV3D-15*02","4","30","IGKVS1F4-G30*02","false"
"96","IGKV3D-15*01","4","30","IGKVS1F4-G30*03","false"
"97","IGKV3-15*01","4","30","IGKVS1F4-G30*04","false"
"98","IGKV3-15*02","4","30","IGKVS1F4-G30*05","false"
"99","IGKV3D-20*02","4","31","IGKVS1F4-G31*01","false"
"100","IGKV3-11*01","4","31","IGKVS1F4-G31*02","false"
"101","IGKV3-11*02","4","31","IGKVS1F4-G31*03","false"
"102","IGKV3D-11*03","4","31","IGKVS1F4-G31*04","false"
"103","IGKV3D-11*01","4","31","IGKVS1F4-G31*05","false"
"104","IGKV3D-11*02","4","31","IGKVS1F4-G31*06","false"
"105","IGKV3-20*01","4","32","IGKVS1F4-G32*01","false"
"106","IGKV3D-20*01","4","32","IGKVS1F4-G32*02","false"
"107","IGKV3-7*02","4","33","IGKVS1F4-G33*01","false"
"108","IGKV3/OR2-268*01","4","33","IGKVS1F4-G33*02","false"
"109","IGKV3D-7*01","4","33","IGKVS1F4-G33*03","true"
"110","IGKV3/OR2-268*02","4","33","IGKVS1F4-G33*03","false"
"111","IGKV3-7*06","4","33","IGKVS1F4-G33*04","false"
"112","IGKV3-7*01","4","33","IGKVS1F4-G33*05","false"
"113","IGKV3-7*03","4","33","IGKVS1F4-G33*06","false"
"114","IGKV3-7*04","4","33","IGKVS1F4-G33*07","false"
"115","IGKV3-7*05","4","33","IGKVS1F4-G33*08","false"
"116","IGKV6D-41*01","5","34","IGKVS1F5-G34*01","false"
"117","IGKV6D-21*02","5","35","IGKVS1F5-G35*01","false"
"118","IGKV6-21*02","5","35","IGKVS1F5-G35*02","false"
"119","IGKV6D-21*01","5","35","IGKVS1F5-G35*03","true"
"120","IGKV6-21*01","5","35","IGKVS1F5-G35*03","false"
"121","IGKV7-3*01","6","36","IGKVS1F6-G36*01","false"
"122","IGKV4-1*03","7","37","IGKVS1F7-G37*01","false"
"123","IGKV4-1*01","7","37","IGKVS1F7-G37*02","false"
"124","IGKV4-1*02","7","37","IGKVS1F7-G37*03","false"
